date,type,color,freq
2013-09-28,total,60.00000033908421,90
2013-09-29,total,55.68181757493453,88
2013-09-30,total,61.43250401814778,363
2013-10-01,total,59.45945945945946,37
2013-10-02,total,54.545454025268555,44
2013-10-03,total,77.57576035008286,165
2013-10-04,total,33.33333502875434,27
2013-10-06,total,67.92452954946074,159
2013-10-07,total,63.9240513089337,158
2013-10-08,total,65.02849006652832,12
2013-10-09,total,55.55555555555556,90
2013-10-10,total,68.35016861347236,594
2013-10-11,total,74.23728942871094,1
2013-10-14,total,65.29171625773112,27
2013-10-15,total,72.51184902823931,211
2013-10-16,total,73.11828268727947,93
2013-10-18,total,58.33333460489909,24
2013-10-19,total,68.75000274181366,32
2013-10-20,total,76.83616129557292,177
2013-10-21,total,70.921987655315,141
2013-10-22,total,71.72930214621803,11
2013-10-23,total,65.45454545454545,55
2013-10-24,total,81.81818389892578,11
2013-10-25,total,59.52381288437616,42
2013-10-27,total,69.5652145717455,69
2013-10-28,total,71.42856997535343,84
2013-10-29,total,80.11927907651746,503
2013-10-30,total,68.07095272630914,451
2013-11-01,total,59.25926363909686,81
2013-11-02,total,60.000003051757815,20
2013-11-04,total,68.88888795640733,90
2013-11-05,total,65.3846180842473,130
2013-11-06,total,32.407407972547745,18
2013-11-07,total,35.20833396911621,14
2013-11-08,total,79.41176739860984,136
2013-11-09,total,69.7986562332051,298
2013-11-10,total,66.66666785346138,225
2013-11-11,total,67.39130633810292,46
2013-11-12,total,69.43699333047739,746
2013-11-13,total,70.92731590557815,798
2013-11-14,total,64.89361657487585,94
2013-11-15,total,75.14450822951477,173
2013-11-16,total,63.8752076285226,14
2013-11-17,total,69.8412699018206,126
2013-11-18,total,71.68141771839782,113
2013-11-22,total,67.36918711662292,16
2013-11-23,total,72.86821746826172,129
2013-11-25,total,71.5789476093493,285
2013-11-26,total,69.9300708370609,143
2013-11-27,total,70.25789070129395,12
2013-11-29,total,77.56563458863761,419
2013-11-30,total,36.13636344129389,22
2013-12-01,total,75.00000181652251,84
2013-12-03,total,65.15151578729802,198
2013-12-04,total,61.36363983154297,44
2013-12-05,total,69.10568963027582,123
2013-12-06,total,73.95833539962769,96
2013-12-07,total,71.96969985961914,10
2013-12-08,total,70.95709115207785,303
2013-12-09,total,78.7630386352539,22
2013-12-10,total,57.35294027889476,68
2013-12-11,total,56.53846130371094,5
2013-12-12,total,68.74999698003133,48
2013-12-13,total,61.64874691433377,18
2013-12-14,total,48.739497016457946,17
2013-12-16,total,74.00000045776368,50
2013-12-22,total,67.86300768171039,7
2013-12-23,total,71.08434012999018,332
2013-12-24,total,54.7926109715512,19
2013-12-25,total,72.98850460710197,174
2013-12-26,total,72.05882263183594,204
2013-12-27,total,66.15384345421424,65
2013-12-28,total,65.83969389937306,524
2013-12-29,total,74.78260962444803,115
